Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Elec_6.3x5.8,1,47uF,
C2,0402,1,15pF,
C3,0402,1,100nF,
C4,0402,1,100pF,
D1,0402,1,Status LED,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,PinSocket_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J5,TE_RJ45-8Z4,1,RJ45-8Z4,
R1,0402,1,330,
R2,0402,1,120,
STM32F103C6T1,STM32F103C6T6,1,STM32F103C6T6,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
